,x,y,activation_0,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,activation_8,activation_9,class_association,average_activation,layer
0,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
1,3.9548047,-7.1426544,51,9,43,13,14,60,30,34,10,6,0.1,0.3550266,1
2,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
3,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
4,-32.43268,-10.443572,14,15,36,31,56,24,55,65,64,61,0.1,0.27781358,1
5,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
6,6.189346,3.1180816,51,9,60,43,30,34,50,6,10,12,0.0,0.36408362,1
7,-11.815057,-21.847164,24,14,58,27,56,29,31,2,15,48,0.3,0.37989637,1
8,-14.660879,-19.401608,14,27,47,58,13,2,26,55,61,3,0.3,0.08392141,1
9,-7.536054,-17.295752,25,9,24,29,28,1,56,14,34,31,0.1,0.4886767,1
10,-1.8896172,-6.9482164,9,34,24,51,28,25,50,33,60,56,0.0,0.44425228,1
11,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
12,-31.506151,13.250279,23,65,64,63,61,62,59,58,57,60,0.1,0.3111563,1
13,-8.827518,38.34112,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
14,-32.13163,17.190962,40,22,19,4,64,65,59,63,61,62,0.0,0.10547862,1
15,34.558727,17.34276,9,43,51,60,13,30,18,50,20,6,0.0,0.45510077,1
16,-10.811011,-25.998484,14,28,3,26,2,31,61,29,36,1,0.1,0.37273645,1
17,45.67038,-12.422229,51,43,6,50,12,11,64,10,30,17,0.0,0.35100996,1
18,-36.56678,14.9745865,14,65,64,63,61,62,59,58,57,60,0.2,0.16835178,1
19,-5.8259487,36.321583,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
20,35.024155,20.097021,51,43,60,6,50,30,20,12,9,18,0.0,0.4551184,1
21,34.60205,8.325582,43,20,51,60,30,64,6,18,37,40,0.0,0.4575841,1
22,-36.56678,14.9745865,14,65,64,63,61,62,59,58,57,60,0.2,0.16835178,1
23,2.6327531,-5.670407,9,13,51,34,43,60,47,10,55,30,0.0,0.22761728,1
24,-33.915028,-4.6719537,14,58,27,61,64,65,60,59,62,63,0.3,0.20724718,1
25,43.882908,-12.807698,51,9,6,43,60,30,50,64,10,12,0.0,0.36601317,1
26,-11.099638,32.708866,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
27,-8.954055,-16.353851,34,27,2,9,25,47,24,26,1,59,0.1,0.31355545,1
28,-37.798466,-21.236155,58,27,61,26,2,29,28,65,64,62,0.2,0.22076342,1
29,22.594673,-38.341236,51,43,60,6,30,9,10,64,50,20,0.0,0.4980307,1
30,2.8087008,1.2233293,9,50,51,28,25,17,6,10,12,60,0.0,0.49442935,1
31,-34.255196,14.761571,29,65,64,63,61,62,59,58,57,60,0.1,0.3241276,1
32,-20.789047,-26.403177,0,35,42,11,39,32,14,21,8,38,0.1,0.06591686,1
33,44.937275,7.0784054,43,51,60,30,6,20,64,18,50,12,0.0,0.45392087,1
34,-33.12746,-19.029472,14,36,31,28,29,0,64,65,61,63,0.1,0.3504453,1
35,-9.800439,31.863031,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
36,4.4797134,-1.4873209,51,50,43,12,10,60,35,13,11,9,0.0,0.1649793,1
37,-5.9829607,31.55307,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
38,-15.94013,-27.281279,14,3,55,61,28,36,58,31,15,42,0.2,0.2035196,1
39,-8.309786,31.238718,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
40,-7.6137147,-23.433224,14,36,15,0,16,46,31,1,21,56,0.1,0.4320972,1
41,-0.09907225,-7.875918,9,13,51,34,14,43,60,24,47,33,0.1,0.24938999,1
42,34.232254,14.733613,9,33,55,43,14,54,60,18,20,15,0.1,0.41069877,1
43,-34.26946,-21.242441,27,29,58,61,14,28,31,65,64,62,0.3,0.22105126,1
44,-8.309786,31.238718,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
45,-8.862276,-13.529193,24,9,13,3,2,55,47,34,56,48,0.0,0.12121199,1
46,-6.9531393,30.554005,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
47,-2.3969846,-6.462627,9,34,47,51,24,2,60,10,17,59,0.0,0.23369189,1
48,-7.0764194,32.402145,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
49,-7.0764194,32.402145,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
50,-9.987281,-24.383907,26,28,61,2,29,1,3,56,31,24,0.0,0.35853815,1
51,-8.270209,-13.850152,13,9,34,3,24,47,2,48,56,15,0.0,0.2004521,1
52,47.873913,-3.5194485,51,43,6,30,60,50,10,12,64,20,0.0,0.49359733,1
53,-30.876081,10.768698,20,43,60,40,64,65,59,58,62,63,0.1,0.31057712,1
54,-9.486417,-14.387812,9,24,14,13,34,27,56,47,48,15,0.2,0.24308978,1
55,-37.848755,15.005207,14,65,64,63,61,62,59,58,57,60,0.2,0.16835178,1
56,0.95310426,-7.692905,9,51,60,34,43,6,13,14,33,25,0.1,0.50136536,1
57,-13.021765,-17.12466,14,24,58,15,55,33,27,13,48,47,0.3,0.26953745,1
58,-13.51919,-22.22591,14,27,26,2,29,58,1,63,24,3,0.3,0.40765297,1
59,-14.843539,-18.834654,3,13,61,55,58,26,2,31,15,47,0.1,0.12142093,1
60,32.389854,7.5663924,64,47,22,5,30,43,11,6,49,4,0.0,0.23035505,1
61,-31.22924,9.791086,33,9,24,25,51,65,64,59,61,63,0.0,0.3758563,1
62,-11.8679905,34.8644,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
63,34.686337,11.180865,43,51,60,9,6,20,30,18,64,33,0.0,0.5544736,1
64,-14.845624,-20.129313,27,58,61,14,24,47,28,2,26,55,0.3,0.08681469,1
65,-18.102127,-22.384605,27,58,61,26,29,2,47,28,25,63,0.2,0.44893587,1
66,-7.2766705,25.535078,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
67,1.2780492,-2.5482044,51,13,9,34,10,17,47,50,43,12,0.0,0.18248823,1
68,-1.6421236,31.484543,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
69,47.873913,-3.5194485,51,43,6,30,60,64,50,10,20,12,0.0,0.49359733,1
70,2.0794954,-3.1836004,9,51,34,13,50,60,10,12,43,47,0.0,0.19304046,1
71,-31.036198,14.430336,64,6,40,65,61,63,59,58,57,62,0.1,0.2759392,1
72,-32.152294,-10.794912,14,9,24,61,31,55,56,3,36,65,0.1,0.19896077,1
73,-1.6421236,31.484543,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
74,-0.77551496,37.054546,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
75,-4.5752177,36.913235,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
76,27.467407,-27.102621,43,51,30,60,13,6,20,10,9,64,0.0,0.48879024,1
77,2.0794954,-3.1836004,13,9,43,51,34,50,10,47,60,12,0.0,0.19304046,1
78,-1.6421236,31.484543,65,64,63,62,61,60,59,58,57,56,0.1,0.2553533,1
79,-8.192605,-16.895603,28,25,34,24,9,2,26,56,17,29,0.0,0.4258278,1
