ind,x,y,class_association,activation_0,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,activation_8,activation_9,average_activation
0,-23.591976,-10.72205,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
1,18.249987,11.1461935,0.1,51,9,43,13,14,60,30,34,10,6,0.3550266
2,-23.591976,-10.72205,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
3,-23.591976,-10.72205,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
4,-2.7170157,-3.6452298,0.1,14,15,36,31,56,24,55,65,64,61,0.27781358
5,-20.360222,-8.362275,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
6,16.45585,13.53389,0.0,51,9,60,43,30,34,50,6,10,12,0.36408362
7,1.0061342,-1.7126613,0.3,24,14,58,27,56,29,31,2,15,48,0.37989637
8,2.9182067,-0.9850064,0.3,14,27,47,58,13,2,26,55,61,3,0.08392141
9,1.7505686,-5.856484,0.1,25,9,24,29,28,1,56,14,34,31,0.4886767
10,20.904222,9.613933,0.0,9,34,24,51,28,25,50,33,60,56,0.44425228
11,-20.7355,-11.187219,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
12,-13.55156,-6.67674,0.1,23,65,64,63,61,62,59,58,57,60,0.3111563
13,-24.461205,-7.7485166,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
14,-15.50259,-6.093651,0.0,40,22,19,4,64,65,59,63,61,62,0.10547862
15,14.084887,15.093082,0.0,9,43,51,60,13,30,18,50,20,6,0.45510077
16,-0.20918687,-0.138437,0.1,14,28,3,26,2,31,61,29,36,1,0.37273645
17,11.505312,11.694833,0.0,51,43,6,50,12,11,64,10,30,17,0.35100996
18,-11.396994,-6.4791594,0.2,14,65,64,63,61,62,59,58,57,60,0.16835178
19,-23.232353,-8.848979,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
20,13.445473,14.935219,0.0,51,43,60,6,50,30,20,12,9,18,0.4551184
21,10.783466,15.516014,0.0,43,20,51,60,30,64,6,18,37,40,0.4575841
22,-11.760012,-6.901381,0.2,14,65,64,63,61,62,59,58,57,60,0.16835178
23,19.188766,11.602238,0.0,9,13,51,34,43,60,47,10,55,30,0.22761728
24,-11.162374,-5.1602526,0.3,14,58,27,61,64,65,60,59,62,63,0.20724718
25,13.463748,12.712325,0.0,51,9,6,43,60,30,50,64,10,12,0.36601317
26,-23.232353,-8.848979,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
27,3.089646,-6.3118563,0.1,34,27,2,9,25,47,24,26,1,59,0.31355545
28,-6.172375,-4.1800647,0.2,58,27,61,26,2,29,28,65,64,62,0.22076342
29,12.837269,13.59747,0.0,51,43,60,6,30,9,10,64,50,20,0.4980307
30,17.847158,15.089554,0.0,9,50,51,28,25,17,6,10,12,60,0.49442935
31,-13.41106,-6.6605506,0.1,29,65,64,63,61,62,59,58,57,60,0.3241276
32,3.1258557,4.0284576,0.1,0,35,42,11,39,32,14,21,8,38,0.06591686
33,11.438813,14.148971,0.0,43,51,60,30,6,20,64,18,50,12,0.45392087
34,-5.201582,-4.168692,0.1,14,36,31,28,29,0,64,65,61,63,0.3504453
35,-26.03165,-8.361119,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
36,18.060278,13.158175,0.0,51,50,43,12,10,60,35,13,11,9,0.1649793
37,-21.075537,-7.063004,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
38,-1.1040474,-2.5585155,0.2,14,3,55,61,28,36,58,31,15,42,0.2035196
39,-22.401209,-6.3065386,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
40,-2.4709759,-2.0319428,0.1,14,36,15,0,16,46,31,1,21,56,0.4320972
41,20.003593,10.44601,0.1,9,13,51,34,14,43,60,24,47,33,0.24938999
42,14.709974,17.4036,0.1,9,33,55,43,14,54,60,18,20,15,0.41069877
43,-5.855929,-4.2063713,0.3,27,29,58,61,14,28,31,65,64,62,0.22105126
44,-23.232353,-8.848979,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
45,4.30471,-5.138672,0.0,24,9,13,3,2,55,47,34,56,48,0.12121199
46,-21.933945,-10.182776,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
47,21.237497,10.412141,0.0,9,34,47,51,24,2,60,10,17,59,0.23369189
48,-21.933945,-10.182776,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
49,-21.979437,-7.8010297,0.1,65,64,63,62,61,60,59,58,57,56,0.2553533
50,-0.029717611,-0.6139366,0.0,26,28,61,2,29,1,3,56,31,24,0.35853815
51,4.0017147,-5.138681,0.0,13,9,34,3,24,47,2,48,56,15,0.2004521
52,12.273897,12.646739,0.0,51,43,6,30,60,50,10,12,64,20,0.49359733
53,-14.029709,-4.791418,0.1,20,43,60,40,64,65,59,58,62,63,0.31057712
54,4.139995,-4.4614778,0.2,9,24,14,13,34,27,56,47,48,15,0.24308978
