ind,x,y,class_association,activation_0,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,activation_8,activation_9,average_activation
0,-132.23164,-378.85403,0.2,27,58,64,65,61,63,60,59,57,62,0.805403
1,162.97899,-401.21982,0.3,27,58,29,61,14,65,64,60,62,63,0.82970005
2,371.9872,417.85535,0.0,51,43,60,6,9,30,50,10,20,12,0.62929404
3,-161.84221,60.804546,0.0,51,43,60,6,30,9,50,20,64,10,0.8660601
4,317.89383,205.92561,0.0,51,43,60,6,30,9,50,10,64,12,0.85860044
5,162.97899,-401.21982,0.3,27,58,29,14,64,65,60,63,61,62,0.82970005
6,-161.84221,60.804546,0.0,51,43,6,60,30,64,50,9,20,10,0.8660601
7,-451.51263,-232.6222,0.1,65,64,63,62,61,60,59,58,57,56,0.8066436
8,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,10,20,64,0.8660601
9,-495.508,-317.1134,0.1,65,64,63,62,61,60,59,58,57,56,0.8066436
10,371.9872,417.85535,0.0,51,43,60,6,9,30,50,10,12,20,0.62929404
11,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,10,64,0.8660601
12,422.84036,-279.0528,0.3,27,58,14,29,61,31,0,65,64,62,0.8277177
13,-277.51715,-271.2629,0.1,65,64,63,62,61,60,59,58,57,56,0.8066436
14,346.59232,61.149044,0.0,43,51,60,30,6,20,64,50,18,12,0.9806145
15,316.6866,121.590004,0.0,51,43,60,6,30,9,50,20,64,12,0.8291757
16,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,10,64,0.8660601
17,-374.9268,-305.94186,0.1,65,64,63,62,61,60,59,58,57,56,0.8066436
18,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,64,10,0.8660601
19,371.9872,417.85535,0.0,51,43,60,6,30,9,50,10,20,12,0.62929404
20,397.641,163.28267,0.0,43,51,60,30,6,50,9,13,64,12,0.8201596
21,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,10,64,0.8660601
22,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,10,64,0.8660601
23,371.9872,417.85535,0.0,51,43,60,6,30,9,50,10,12,20,0.62929404
24,529.8786,-7.553931,0.0,19,41,40,53,23,4,20,22,65,45,1.0102675
25,371.9872,417.85535,0.0,51,43,60,6,9,30,50,10,20,12,0.62929404
26,371.9872,417.85535,0.0,51,43,60,6,9,30,50,10,12,20,0.62929404
27,-374.9268,-305.94186,0.1,65,64,63,62,61,60,59,58,57,56,0.8066436
28,-167.62717,-350.864,0.1,43,65,64,63,61,62,59,58,57,60,0.9180849
29,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,10,64,0.8660601
30,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,64,10,0.8660601
31,-374.9268,-305.94186,0.1,65,64,63,62,61,60,59,58,57,56,0.8066436
32,371.9872,417.85535,0.0,51,43,60,6,30,9,50,10,20,12,0.62929404
33,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,64,10,0.8660601
34,54.276566,121.209,0.0,51,43,60,6,30,9,50,20,10,64,0.8660601
35,-286.4387,89.83475,0.0,51,43,60,6,30,9,50,20,64,10,0.8660601
36,-384.4862,-157.13086,0.1,65,64,63,62,61,60,59,58,57,56,0.8066436
37,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,10,64,0.8660601
38,-384.4862,-157.13086,0.1,65,64,63,62,61,60,59,58,57,56,0.8066436
39,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,64,10,0.8660601
40,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,10,20,64,0.8660601
41,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,10,64,0.8660601
42,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,64,10,0.8660601
43,-77.18418,191.35495,0.0,51,43,60,6,30,9,50,20,64,10,0.8660601
44,371.9872,417.85535,0.0,51,43,60,6,30,9,50,10,12,20,0.62929404
45,-29.78453,71.897026,0.0,51,43,60,6,30,9,50,20,10,64,0.8660601
46,331.21326,-264.48862,0.3,27,58,14,29,61,31,64,65,62,63,0.82899463
47,317.89383,205.92561,0.0,51,43,60,6,30,9,50,10,12,64,0.8586003
48,-285.28436,-188.61688,0.1,65,64,63,62,61,60,59,58,57,56,0.8066436
