ind,x,y,class_association,activation_0,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,activation_8,activation_9,average_activation
0,-7.243618,-90.81181,0.0,51,43,60,9,6,30,50,10,13,12,0.094861716
1,182.09416,-107.63179,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
2,296.0405,-148.76819,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
3,211.8113,-147.31133,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
4,160.87094,178.7629,0.2,27,29,64,65,63,62,59,58,61,60,0.713199
5,-45.2894,32.9351,0.1,14,9,28,13,51,43,50,34,60,3,0.21535777
6,96.20612,145.23514,0.1,14,55,24,3,61,15,64,65,62,63,0.41834018
7,-48.505615,64.319496,0.1,24,9,56,48,14,2,34,15,6,51,0.10669576
8,233.49724,106.077126,0.2,14,65,64,63,61,62,59,58,57,60,0.42020607
9,271.62265,107.30739,0.1,28,42,64,65,61,63,59,58,57,62,0.53469455
10,96.64914,191.95601,0.3,27,58,14,61,29,65,64,60,62,63,0.71668315
11,-210.77046,-155.70955,0.0,51,43,60,6,30,64,20,50,9,12,0.093651876
12,253.10837,-155.53937,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
13,258.29926,-105.4467,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
14,-165.59421,185.39015,0.2,14,28,61,31,3,29,25,35,36,27,0.4749873
15,213.94987,64.42981,0.1,0,65,64,63,61,62,59,58,57,60,0.5078959
16,253.10837,-155.53937,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
17,258.29926,-105.4467,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
18,-224.1465,-120.04654,0.0,43,51,6,30,60,64,20,50,18,12,0.17457175
19,-188.58434,221.28978,0.1,14,0,31,29,28,16,26,1,3,2,0.31560892
20,258.29926,-105.4467,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
21,-210.77046,-155.70955,0.0,51,43,60,6,30,9,50,20,64,12,0.093651876
22,-258.55185,-85.22175,0.0,51,43,60,9,6,18,20,33,30,64,0.30214357
23,211.0531,90.30293,0.1,29,58,64,65,61,63,60,59,57,62,0.51607895
24,253.10837,-155.53937,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
25,136.37521,163.54677,0.1,27,29,26,65,64,63,59,62,61,60,0.71473324
26,-305.5231,-77.68997,0.0,6,51,60,64,30,43,20,9,37,40,0.09403567
27,-187.73264,-182.3298,0.0,51,43,60,6,30,9,50,64,20,10,0.09521385
28,-7.243618,-90.81181,0.0,51,43,60,9,30,6,50,10,13,12,0.094861716
29,-7.243618,-90.81181,0.0,51,43,60,9,50,6,30,10,12,13,0.094861716
30,258.29926,-105.4467,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
31,50.440964,196.41147,0.2,14,61,29,31,28,58,64,65,62,63,0.63767403
32,-284.9331,-94.36812,0.0,43,51,60,6,9,20,64,30,18,37,0.17452675
33,-187.73264,-182.3298,0.0,51,43,60,6,30,9,64,50,20,10,0.09521385
34,182.09416,-107.63179,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
35,-103.602295,229.51779,0.3,28,61,27,14,26,29,58,31,2,25,0.47237548
36,-258.23117,-3.6143122,0.0,22,40,64,53,6,38,5,19,23,39,0.3515839
37,297.8763,-73.619,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
38,-100.33531,-226.42383,0.0,51,43,60,9,6,30,50,10,12,20,0.094861716
39,-100.33531,-226.42383,0.0,51,43,60,6,30,9,50,10,12,20,0.094861716
40,-65.27541,282.8081,0.0,26,63,11,49,19,22,42,5,53,2,0.5900884
41,214.56517,-73.26655,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
42,218.03218,-117.20201,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
43,-188.1161,263.94257,0.0,25,29,28,0,32,1,31,56,16,59,0.32396725
44,-13.653249,-56.564194,0.0,51,43,60,9,30,6,50,10,13,12,0.094861716
45,-99.543594,9.192166,0.0,9,34,51,17,25,59,10,50,60,63,0.30974618
46,-120.276,208.31628,0.3,27,14,58,26,29,61,2,0,31,28,0.5634234
47,214.56517,-73.26655,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
48,-52.42009,161.25336,0.2,26,58,27,61,2,29,47,51,63,30,0.6551334
49,-100.33531,-226.42383,0.0,51,43,60,9,6,30,50,10,12,20,0.094861716
50,241.20549,80.43193,0.2,14,65,64,63,61,62,59,58,57,60,0.42020607
51,-258.9575,-119.30747,0.0,43,51,60,6,30,20,64,50,9,18,0.17470266
52,-25.452425,-11.589573,0.0,9,51,43,60,34,13,50,30,6,10,0.09486171
53,49.10716,150.83104,0.0,1,25,26,29,2,65,64,63,61,62,0.5157907
54,214.56517,-73.26655,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
55,241.20549,80.43193,0.2,14,65,64,63,61,62,59,58,57,60,0.42020607
56,62.910885,225.3862,0.3,14,61,58,31,27,29,64,65,62,63,0.71612215
57,96.64914,191.95601,0.3,14,27,58,29,61,65,64,60,62,63,0.71668315
58,258.29926,-105.4467,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
59,177.51086,-150.91695,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
60,-96.48236,194.09537,0.3,58,27,14,61,29,31,26,28,2,65,0.47224948
61,-25.452425,-11.589573,0.0,51,9,43,60,50,34,30,6,10,13,0.094861716
62,-37.11659,-107.12637,0.0,51,43,60,9,6,30,50,10,12,13,0.094861716
63,-100.33531,-226.42383,0.0,51,43,60,9,6,30,50,20,10,12,0.094861716
64,-286.8398,3.8653312,0.0,21,19,4,23,22,53,30,41,43,65,0.17689145
65,258.27988,-53.941925,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
66,-40.030888,-74.32642,0.0,51,43,60,30,6,10,13,12,9,50,0.094861716
67,33.108585,241.53145,0.3,58,14,61,27,29,31,28,65,64,62,0.6189801
68,258.27988,-53.941925,0.1,58,65,64,63,61,62,60,59,57,56,0.4173268
69,-294.65488,-21.972597,0.0,30,22,4,20,40,65,43,64,47,45,0.025385804
70,-146.8322,261.78497,0.2,14,28,24,27,61,56,29,1,2,25,0.47068316
71,-25.452425,-11.589573,0.0,51,9,43,60,13,30,34,10,50,6,0.094861716
72,-210.77046,-155.70955,0.0,51,43,60,6,30,50,9,64,20,12,0.093651876
73,-247.84213,-151.21288,0.0,43,51,6,60,30,64,20,50,18,12,0.17457175
74,62.910885,225.3862,0.3,27,58,14,61,29,31,64,65,62,63,0.71612215
75,-56.161194,-26.75397,0.0,13,51,9,43,50,10,12,60,34,6,0.094861716
76,-100.33531,-226.42383,0.0,51,43,60,9,6,30,50,10,20,12,0.094861716
77,306.97086,-112.11228,0.1,65,64,63,62,61,60,59,58,57,56,0.4173268
78,-295.4798,-121.251144,0.0,43,51,9,60,6,13,30,64,20,18,0.17452675
79,96.64914,191.95601,0.3,27,58,61,14,29,65,64,60,62,63,0.71668315
80,-80.9818,-14.973132,0.0,51,9,10,50,13,17,60,34,12,6,0.09390422
81,-130.81877,183.19185,0.3,14,27,29,58,31,61,26,28,3,2,0.47224945
82,181.60413,154.29459,0.2,28,27,64,65,63,62,59,58,61,60,0.7331385
83,-131.42116,235.66614,0.3,14,27,31,3,58,2,26,56,29,1,0.303488
84,-137.2455,-208.99503,0.0,51,43,6,60,30,50,9,10,12,64,0.09521385
85,21.788963,213.17157,0.3,14,27,58,29,61,31,26,65,64,62,0.5012178
86,-146.33543,209.27373,0.3,58,27,14,61,29,26,28,31,2,1,0.47224948
87,-50.536255,124.55246,0.2,9,47,24,34,58,13,27,51,2,61,0.33793432
88,-159.96295,233.15479,0.2,14,28,2,26,25,27,1,29,31,65,0.4223056
89,-326.084,-134.10806,0.0,43,51,60,9,30,13,20,55,37,24,0.09246441
90,-90.43308,270.6619,0.1,28,26,25,42,17,11,63,27,2,35,0.7175057
91,-40.030888,-74.32642,0.0,51,43,60,9,30,10,50,6,13,12,0.094861716
92,14.3781,-64.798874,0.0,51,43,60,6,9,30,50,10,13,12,0.094861716
93,-281.3828,-47.930164,0.0,43,51,20,40,30,6,65,64,53,60,0.09402498
94,169.08763,127.59635,0.0,25,28,26,65,64,63,59,62,61,60,0.53705406
95,-258.9575,-119.30747,0.0,43,51,60,30,6,20,64,50,18,9,0.17470266
96,-100.33531,-226.42383,0.0,51,43,60,9,6,30,50,20,10,12,0.094861716
97,96.06273,226.91919,0.2,14,61,29,31,27,65,64,63,62,60,0.717446
