ind,x,y,class_association,activation_0,activation_1,activation_2,activation_3,activation_4,activation_5,activation_6,activation_7,activation_8,activation_9,average_activation
0,16.060936,-603.02716,0.3,27,14,58,29,61,31,64,65,62,63,0.72626114
1,16.060936,-603.02716,0.3,27,58,29,61,31,14,64,65,62,63,0.72626114
2,-250.93047,326.11563,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
3,16.060936,-603.02716,0.3,58,27,14,61,31,29,64,65,62,63,0.72626114
4,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
5,233.20602,141.33536,0.0,51,43,60,6,30,64,20,9,50,18,0.3830507
6,16.060936,-603.02716,0.3,27,58,29,61,14,31,64,65,62,63,0.72626114
7,546.35693,194.82498,0.0,51,43,60,6,30,9,50,20,64,10,0.52281654
8,-347.83228,-175.67102,0.2,14,65,64,63,61,62,59,58,57,60,0.7336053
9,-314.75195,-565.3799,0.2,58,27,29,61,31,65,64,60,62,63,0.7693316
10,546.35693,194.82498,0.0,51,43,60,6,30,9,50,20,10,64,0.5228166
11,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
12,364.2452,538.4861,0.0,51,43,60,6,9,30,50,10,13,64,0.5815909
13,149.01823,-198.70944,0.0,51,43,60,6,30,9,50,10,12,20,0.5795677
14,546.35693,194.82498,0.0,51,43,60,6,30,9,50,64,20,10,0.5228166
15,16.060936,-603.02716,0.3,58,27,61,14,29,31,64,65,62,63,0.72626114
16,264.6179,454.82074,0.0,51,43,60,6,30,9,50,10,64,12,0.6500186
17,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
18,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
19,72.60151,292.1674,0.0,51,43,60,6,30,9,20,64,50,12,0.5102527
20,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
21,-12.722242,557.414,0.0,51,43,9,60,6,30,50,10,13,18,0.5111399
22,149.01823,-198.70944,0.0,51,43,60,6,30,9,50,20,10,12,0.5795677
23,-95.85868,620.87415,0.0,51,43,9,60,30,10,6,13,50,34,0.5115242
24,546.35693,194.82498,0.0,51,43,60,6,30,9,50,10,20,64,0.5228166
25,16.060936,-603.02716,0.3,27,58,29,61,14,31,64,65,62,63,0.72626114
26,289.732,-149.8444,0.0,51,43,60,6,9,30,50,10,20,12,0.5795677
27,-429.72067,-521.6856,0.3,14,27,58,29,64,65,60,63,61,62,0.90710366
28,546.35693,194.82498,0.0,51,43,60,6,30,9,50,20,64,10,0.52281654
29,546.35693,194.82498,0.0,51,43,60,6,30,9,50,20,10,64,0.5228166
30,264.6179,454.82074,0.0,51,43,60,6,9,30,50,10,12,64,0.6500186
31,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
32,-429.72067,-521.6856,0.3,27,14,58,29,64,65,60,63,61,62,0.90710366
33,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
34,-429.72067,-521.6856,0.3,14,58,27,61,29,65,64,60,62,63,0.90710366
35,56.58114,114.89877,0.0,43,51,6,60,30,64,50,18,20,12,0.5095641
36,72.60151,292.1674,0.0,51,43,60,6,30,50,9,20,64,12,0.5102527
37,56.58114,114.89877,0.0,43,51,6,60,30,20,64,18,50,12,0.5095641
38,546.35693,194.82498,0.0,51,43,60,6,30,9,50,20,10,64,0.5228166
39,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
40,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
41,233.20602,141.33536,0.0,43,51,60,9,6,30,20,18,64,50,0.38305068
42,522.98663,-263.02582,0.0,43,20,18,41,60,64,30,40,65,23,0.52932996
43,292.1416,-640.5196,0.3,14,27,58,29,61,31,26,1,2,0,0.78977144
44,546.35693,194.82498,0.0,51,43,60,6,30,9,50,20,10,64,0.5228166
45,546.35693,194.82498,0.0,51,43,60,6,30,9,50,10,64,20,0.5228166
46,18.04725,706.6173,0.0,51,43,60,9,6,30,13,50,10,12,0.63834196
47,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
48,271.7677,-290.67252,0.0,51,43,60,9,6,30,50,10,20,12,0.5795677
49,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
50,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
51,-429.72067,-521.6856,0.3,27,58,29,14,64,65,60,63,61,62,0.90710366
52,546.35693,194.82498,0.0,51,43,60,6,30,9,50,64,20,10,0.5228166
53,16.060936,-603.02716,0.3,27,58,14,61,29,31,64,65,62,63,0.72626114
54,-277.7985,-176.92642,0.1,58,19,22,65,64,63,60,59,61,62,0.9099638
55,289.732,-149.8444,0.0,51,43,60,9,6,30,50,10,12,20,0.5795677
56,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
57,-105.066376,-431.34683,0.2,27,58,61,29,31,26,64,65,62,63,0.8415618
58,18.04725,706.6173,0.0,51,43,60,9,6,30,50,10,13,12,0.63834196
59,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
60,289.732,-149.8444,0.0,51,43,60,6,30,9,50,10,12,20,0.5795677
61,72.60151,292.1674,0.0,51,43,60,6,30,9,50,20,64,12,0.5102527
62,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
63,56.58114,114.89877,0.0,43,51,6,60,30,50,20,64,18,12,0.50956416
64,149.01823,-198.70944,0.0,51,43,60,6,30,9,50,20,12,10,0.5795677
65,592.419,15.161097,0.0,51,43,60,6,30,9,50,20,64,10,0.52281654
66,16.060936,-603.02716,0.3,27,58,29,61,14,31,64,65,62,63,0.72626114
67,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
68,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
69,-454.11755,-162.84827,0.1,9,34,14,24,47,48,2,59,56,15,0.49559677
70,18.04725,706.6173,0.0,51,43,60,50,9,6,30,12,10,13,0.6383419
71,-432.1973,-346.4715,0.3,27,58,14,65,64,63,60,59,61,62,0.7332049
72,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
73,285.1,-559.4873,0.3,27,58,61,29,14,31,26,1,28,65,0.98612946
74,16.060936,-603.02716,0.3,27,58,14,29,61,31,64,65,62,63,0.72626114
75,-504.37012,2.5104232,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
76,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
77,592.419,15.161097,0.0,51,43,60,6,30,9,50,20,64,10,0.52281654
78,-455.4827,226.76224,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
79,149.01823,-198.70944,0.0,51,43,60,9,6,30,50,20,10,12,0.5795677
80,138.1448,702.8659,0.0,51,43,60,30,10,9,6,12,50,34,0.5799519
81,720.2365,139.0,0.0,51,43,60,6,30,9,50,20,64,10,0.52281654
82,-323.81277,-363.14178,0.2,14,27,26,65,64,63,59,62,61,60,0.9333334
83,-278.27625,75.65458,0.1,65,64,63,62,61,60,59,58,57,56,0.59583324
