x,y,class
55.968388,-35.47577,1
33.144577,-34.172577,1
36.17807,11.029514,1
-60.654575,-22.353506,0
61.72364,-30.331043,1
-41.565247,-48.56141,0
-6.7793117,-74.885086,1
60.979774,-6.8272076,1
54.129913,-43.23015,1
19.096918,-72.43417,1
-56.015568,-25.187786,0
52.228252,-4.785153,1
-45.115215,54.859932,0
63.378944,35.45601,1
-42.326466,-31.302568,0
31.70778,50.5515,1
50.280495,27.033922,1
27.24089,-37.261295,1
-30.382257,33.671932,0
-18.415794,34.93224,0
50.03056,-9.517351,1
27.074867,-26.29946,1
43.89035,-3.6959784,1
-6.8499336,-78.116035,1
-27.779032,32.415554,0
19.47689,-72.924484,1
50.19969,44.94797,1
-48.62947,28.898636,0
26.255966,3.09004,1
2.64072,69.37111,1
-49.375355,-27.970247,0
31.269028,-10.490306,1
50.428577,-14.395385,1
33.19788,64.42483,1
18.564735,21.564535,1
-19.685411,2.6993885,0
67.75927,-21.420511,1
-21.773478,18.178106,0
-48.61435,29.113413,0
-47.211826,-51.637543,0
32.341457,-33.033184,1
43.18984,12.465537,1
40.28123,-52.390125,1
17.421593,68.125946,1
13.604712,77.662926,1
64.394905,5.185454,1
27.728943,-73.49453,1
46.331364,-54.270943,1
27.438625,-17.6172,1
34.93465,-63.148445,1
-19.360453,14.311025,0
48.068787,-22.865889,1
-48.26124,20.413258,0
39.1692,-52.87076,1
-27.784344,18.083178,0
54.320774,58.034508,1
30.524513,-72.926994,1
74.23136,-21.906399,1
61.13948,-6.907617,1
75.37948,25.514261,1
-42.857628,-41.288467,0
32.06,19.463007,1
21.373474,25.441715,1
60.002117,10.811425,1
33.10904,-21.084543,1
-22.643768,-46.465816,0
-31.555302,-31.1827,0
-41.640152,15.735867,0
47.129364,-20.027376,1
-84.58955,3.8890817,0
52.850014,25.107784,1
70.50213,-27.163218,1
21.137716,59.76991,1
10.348125,78.39118,1
0.53375083,73.074776,1
31.294672,-45.397503,1
-52.34289,-48.179607,0
-28.608583,-5.270177,0
24.625498,-20.847528,1
-32.626633,-20.511179,0
-30.370792,51.944145,0
62.340572,-27.176237,1
-5.1627393,-70.34166,1
-67.55221,6.518642,0
1.9095975,49.63216,1
-10.272802,-25.605425,0
22.937515,-2.193149,1
10.832801,79.72288,1
-14.371128,-4.163876,0
14.77059,-53.862354,1
-48.777824,2.1011496,0
33.156834,41.558147,1
-43.81073,-2.9945233,0
17.985058,-27.81383,1
-83.73476,3.8632312,0
31.635641,-26.438147,1
69.54699,33.780518,1
-65.18273,25.979942,0
-25.831802,14.949102,0
-12.37679,-18.047112,0
-11.773579,-31.480091,0
60.32136,-31.70428,1
-56.56298,39.703396,0
13.485272,-34.88403,1
61.8211,11.774144,1
-35.849224,15.961664,0
74.95177,11.177033,1
0.7257285,-68.03814,1
-38.55532,15.841099,0
-3.1497002,-30.010662,0
-8.737482,8.616511,0
-69.09868,11.851159,0
-7.182241,3.0647032,0
58.62184,24.22227,1
-77.44836,-20.435684,0
-51.123623,1.8745241,0
-29.406872,-47.67187,0
31.369448,-74.25543,1
-6.7185736,-31.455908,0
54.157772,-43.130867,1
-72.701485,-5.7188497,0
19.426714,61.535156,1
-17.632948,-44.735542,0
-44.628387,-17.83134,0
-13.76153,-30.890223,0
-55.41518,0.7391875,0
-28.532784,-37.80232,0
60.505013,-28.42148,1
-34.939175,-9.788026,0
16.544266,-27.357788,1
-76.527176,13.227225,0
-17.675093,-17.865047,0
-33.4964,-3.5898318,0
5.834218,-66.145485,1
-64.10967,-6.4198155,0
39.13111,9.30987,1
-3.5608695,-82.34759,1
32.513702,9.29684,1
-26.840902,-21.607689,0
-75.18952,14.97137,0
38.96932,15.657865,1
-27.933743,42.14318,0
44.29422,56.438766,1
51.237022,49.391407,1
3.4545934,40.06684,1
-18.058949,-18.979906,0
41.03611,-29.63582,1
-28.197968,18.197166,0
-48.730377,-8.232593,0
-34.892597,-50.740486,0
14.542265,-17.908197,1
29.102139,9.575925,1
26.492373,-61.36045,1
-46.472862,12.365918,0
-12.68401,-31.368631,0
-30.422947,47.8011,0
31.64247,-43.968727,1
34.48386,-27.336262,1
35.92629,-1.1232886,1
70.692726,14.720302,1
-10.451393,4.2045536,0
-22.135534,-39.026936,0
-38.975708,36.05876,0
-35.506916,-37.45769,0
52.124405,-31.694391,1
-45.911575,-33.629642,0
15.576707,63.616817,1
-56.07718,43.62321,0
12.207214,-17.614628,1
24.798967,-15.827857,1
32.65613,-59.58872,1
49.820534,23.455135,1
-41.48755,-43.82026,0
28.277832,-72.18692,1
-47.445583,24.361555,0
48.457176,-49.501522,1
-25.28366,-7.8572063,0
1.8306072,44.768158,1
-16.641195,-17.089922,0
32.611378,-5.6146,1
-6.8666263,-73.97033,1
42.83207,25.659313,1
19.264067,50.34001,1
37.740364,40.98819,1
-67.5388,5.0798225,0
-1.873397,-1.8709025,0
-50.87539,-11.953827,0
-63.322506,-24.302765,0
-18.887417,50.61467,0
-36.631153,10.423438,0
-23.418453,-4.6061435,0
11.337103,-75.10978,1
-66.93702,-19.303394,0
-39.113842,37.704224,0
58.359215,-18.964382,1
-64.49115,-24.052229,0
18.262941,-25.695887,1
-27.695232,32.809208,0
49.042206,-32.1393,1
50.075153,-48.76793,1
58.522945,-50.379333,1
-46.017242,-24.6349,0
-62.84728,1.1981757,0
45.498455,-40.9507,1
69.23877,18.038342,1
66.47523,6.733904,1
-26.328814,42.97871,0
-41.11302,-7.642309,0
-21.030653,-44.698082,0
-20.797943,-39.601288,0
27.632639,-30.244795,1
-24.880077,-38.62665,0
-52.807713,-25.5734,0
70.97121,29.672882,1
45.32686,-22.069176,1
-11.640278,-32.2322,0
-51.64857,-11.592502,0
-8.483287,-35.31206,0
-68.61664,-9.800935,0
-3.3698633,66.41811,1
-81.39906,15.265937,0
35.18542,-65.422005,1
-24.307549,-42.973183,0
48.128723,63.412533,1
32.862164,42.19153,1
32.236904,21.196999,1
40.980816,6.3264813,1
34.9745,13.484451,1
-58.993916,-52.94437,0
40.95315,44.185825,1
-3.3654103,-78.800896,1
28.55353,-74.217766,1
-23.834324,-13.093471,0
65.80401,-18.542881,1
64.085815,41.37121,1
43.108875,41.471184,1
55.028015,-20.789202,1
-77.834496,-12.577039,0
-68.06315,26.260996,0
-42.63515,-45.15246,0
32.008,20.477602,1
55.525654,50.656246,1
-70.29009,-25.403006,0
32.935444,21.891962,1
-39.37892,-5.2961326,0
-81.32389,6.773109,0
66.46814,-9.331504,1
-9.716447,22.701565,0
15.6473,-42.57138,1
-44.645527,7.188911,0
52.796787,57.063343,1
-82.031746,19.629555,0
34.812428,-18.704073,1
-17.878351,-23.24551,0
-25.4712,3.8699586,0
-42.782776,-47.280838,0
42.26357,4.3761187,1
-20.528025,-35.677197,0
35.36999,-64.67434,1
-27.718086,29.844257,0
8.9999895,31.853172,1
-58.83484,7.286707,0
31.030182,-62.092255,1
-13.616009,1.0354959,0
25.392847,27.887802,1
-54.813904,-31.533045,0
-2.4996858,64.85569,1
53.392166,16.185978,1
-10.833426,-28.072395,0
-33.25954,48.988533,0
68.89166,-17.722366,1
54.987286,-20.717,1
66.92007,-7.3697796,1
18.619795,16.901007,1
-39.244938,-38.313263,0
-9.255838,-30.065798,0
36.545795,57.29452,1
-72.39088,33.8469,0
-68.06055,31.519024,0
26.41701,59.08533,1
-46.628475,-40.492226,0
-69.130844,-9.919482,0
-38.090103,18.45094,0
56.941204,54.051605,1
59.646584,19.777258,1
-14.192926,-21.40317,0
-54.748787,-0.044295132,0
-66.91719,6.5555587,0
16.197746,80.82031,1
-30.746817,-36.367985,0
-54.809067,33.40788,0
-30.805124,-52.380554,0
