x,y,class
20.921263,21.884945,0
47.078613,46.52249,0
23.594006,20.6004,1
25.74501,67.87338,0
17.208042,16.34713,0
-44.83321,-35.32637,1
-74.03723,12.540707,0
8.964191,-5.5780797,0
17.134806,55.74962,0
58.01009,-21.776173,1
66.887146,-23.894117,1
-52.640724,-13.399304,0
59.531635,-52.648216,0
-73.67229,19.755116,1
-19.208414,-39.568947,0
-50.82123,7.699077,0
-40.18217,7.631063,1
-13.568869,27.34614,1
-17.868044,-27.616339,1
-76.47071,21.527475,0
-68.41192,1.8106886,1
82.54469,-11.747926,0
18.729374,84.10167,0
4.72066,-59.14314,0
-19.259163,6.212593,1
-66.13316,5.329125,1
11.549014,22.831762,0
57.10592,-29.809412,0
-35.486458,-59.356903,0
20.246698,85.426544,1
14.1143265,-72.853615,1
71.74833,-15.560777,1
-29.612999,4.315031,1
-60.134804,-22.022757,1
21.572514,-42.57933,1
6.451914,-40.451057,1
-79.283745,33.65274,0
11.272217,35.764683,0
-33.889145,39.74249,1
-7.906158,-6.2607465,1
-19.758944,34.246372,1
3.295479,47.65303,0
57.941425,-0.3524559,0
24.37855,-48.590958,1
-55.580444,-30.443712,0
-64.36039,3.1220012,1
-6.144286,22.622438,1
-74.80254,-22.726065,1
-61.91789,-27.318035,0
-34.44989,19.263248,1
29.182043,83.514114,0
1.5709307,52.50229,1
27.466959,27.234884,0
37.948784,-2.2031183,1
39.7932,-29.843939,1
-61.44113,47.496063,1
43.263176,67.93583,1
-35.585648,-66.16836,1
26.460222,-70.894226,1
42.850376,7.289219,1
-22.474735,7.1445527,1
-18.151297,-28.400627,1
-25.727098,6.246109,1
-32.722744,20.577473,1
79.51733,-25.544376,1
-74.59547,10.4136715,0
51.628067,58.069954,0
-22.126286,-50.23577,0
33.354176,-7.4545655,1
9.627583,38.631107,1
-55.867302,19.475344,0
-54.61974,8.76111,1
-48.67092,-19.583826,0
31.022223,-41.651386,1
25.587488,-43.724697,1
-6.902935,-9.161053,1
29.88078,34.02099,1
-15.339393,-13.960363,0
-56.305016,-54.717606,1
-31.164522,16.045696,0
-64.17313,6.1352353,1
-28.615784,18.890642,1
-51.73363,-4.343202,1
59.52018,-52.532085,1
-50.896797,-13.268611,1
-37.269356,41.134144,0
63.12754,15.377711,1
58.5282,-19.41617,1
56.989277,63.872505,0
-81.82304,14.375543,0
79.693695,-33.177967,0
-44.848446,45.96169,0
18.805624,90.64137,1
17.644428,13.432207,1
79.10108,-28.738369,0
34.62458,-41.531788,0
41.002644,-13.556962,1
-51.91014,35.153355,0
-33.148945,7.9128876,0
-45.573887,-42.103115,1
18.228045,-18.504623,0
-28.33926,42.489746,1
60.76695,-26.428019,0
-12.594136,11.774966,1
-51.685905,37.917503,1
53.785168,19.518696,1
26.695417,22.460453,1
-79.00705,31.98665,0
-55.357727,20.330883,1
-51.198112,-9.478134,0
-58.019516,15.759932,1
-28.799566,-36.529346,1
-27.943779,-5.177754,0
-50.63547,-17.655615,1
-60.70068,-13.936945,1
53.2321,-34.703323,1
17.509544,-13.015644,1
64.16029,-13.272417,1
-20.501652,-1.8790568,0
-19.859737,-48.760532,0
-18.13779,15.070891,1
-52.233807,19.286213,0
-53.30389,-52.38149,0
-71.27462,25.590494,0
-55.29981,-26.67995,1
4.552531,75.09561,1
28.777126,79.65059,0
-63.86717,-19.330196,0
26.075779,23.763609,0
-39.993786,7.2195573,1
16.880627,25.87154,0
13.643039,8.531869,1
19.588364,73.89811,1
41.81356,-10.134685,0
37.77605,-45.80654,1
17.605606,27.032589,1
-55.2656,-19.978395,0
-75.68562,19.634398,0
14.340974,-63.100353,0
-46.204613,-42.318928,0
12.286467,53.77166,0
32.09557,-71.105934,0
-81.42441,12.834208,1
23.366173,-17.124218,0
36.228924,18.99862,1
-55.754368,-18.18082,1
-78.31192,28.782871,0
32.649303,-47.532513,0
34.192623,33.350346,1
74.48466,-27.36252,0
-30.734089,-34.504257,1
-64.35911,-30.014118,1
27.453888,-36.601204,1
41.184837,21.086355,0
-76.69176,-11.116551,0
61.63048,-43.379463,0
-10.275679,-3.9823194,0
47.616394,70.40172,1
76.67105,-32.05221,1
-51.459145,8.763313,0
9.961051,-67.199524,1
25.929426,82.22215,0
-50.08985,-36.782288,1
-78.45778,31.968407,0
-71.51712,-19.345257,1
-26.722593,-53.392403,1
18.761274,69.23944,1
-37.48512,-59.872856,1
-8.061105,-19.557003,0
-40.617504,52.216194,1
-54.63645,18.853909,1
-57.42481,-15.6991005,0
-32.432102,-41.676903,1
53.589584,-35.1221,0
-39.39912,10.905899,1
-73.893814,39.022034,1
6.805089,49.206852,1
-78.78243,9.106525,0
-43.253437,-46.034374,1
-14.012047,-2.0977767,0
18.09693,-19.499004,0
-28.873817,21.669598,0
20.038187,-66.404945,1
-9.416256,-9.715428,1
54.748283,15.091831,1
-73.27382,35.78889,1
28.483496,21.681047,0
58.831734,50.5396,1
-36.378193,-54.78478,1
44.18177,7.975456,1
80.73604,-8.387328,1
24.299528,-9.994029,1
21.45357,64.15371,0
-13.302106,-4.221256,1
49.60396,30.481548,0
26.354166,58.824154,0
-48.688896,-13.641318,0
-56.33568,36.22121,1
-14.093576,-24.98086,0
-15.334579,-41.21787,1
33.249374,-51.909615,1
-38.22425,-32.986156,0
73.74711,-31.121243,1
13.956076,83.01183,0
-58.591805,10.114292,0
18.636562,-18.66353,0
22.635252,73.2545,1
-35.486,36.354546,1
10.275795,36.377884,1
-18.789812,5.525108,0
-36.90877,-55.6206,0
11.405305,6.6995077,0
39.489277,-10.853987,0
36.734047,19.844845,1
22.182137,61.852615,0
-38.685818,-37.45966,1
-28.164574,32.878006,0
51.6881,27.698845,1
22.523945,27.950974,1
36.81117,10.292485,1
11.699522,13.486706,0
-80.84582,8.744198,0
-26.49625,-27.425247,1
-0.19194995,61.95567,0
10.800302,-4.466268,0
59.241947,37.936264,1
26.817303,38.123806,1
-9.587442,7.97304,0
18.183697,-57.93476,0
-32.448147,-10.640581,0
64.01059,37.42657,0
14.136435,-62.26271,0
-15.635694,23.929214,0
-21.96349,-26.328405,0
2.1144972,-62.03688,0
35.587982,-54.780254,0
-63.81369,6.090242,1
25.90992,46.692986,1
56.642258,29.321936,0
19.786505,90.02933,0
15.490097,-66.5412,1
42.901943,7.4590735,0
18.146399,-4.856647,1
-30.71315,20.660652,0
-8.129407,26.9456,0
-13.604409,8.404409,1
56.091778,-10.994776,1
31.91028,-5.227925,1
43.462948,-21.64597,0
