x,y,class
-47.16013,-24.128881,0
22.479898,-51.9342,1
6.9780335,78.86397,1
25.556274,49.50441,1
16.858538,62.06192,1
-37.88309,-1.1180857,0
23.044752,-52.99737,1
12.670413,-19.35978,1
-26.89568,-50.478775,0
-37.444706,-38.80639,0
60.75814,30.866674,1
-32.528755,19.583828,0
-29.520473,46.74656,0
36.57869,-74.302444,1
-11.027973,7.487795,0
44.200077,0.63190866,1
-49.45996,61.946682,0
-6.0749135,0.5304896,0
7.275394,28.655136,1
41.612034,39.927444,1
-7.4196506,-0.4533183,0
20.293747,-30.076225,1
26.593178,-25.462578,1
-27.92531,-28.906181,0
-21.582047,35.301384,0
-32.526543,-27.802776,0
38.22655,-49.397053,1
42.025955,46.55443,1
16.927599,79.29305,1
31.826746,-22.600063,1
-50.5687,61.337547,0
56.23796,24.277605,1
10.316881,-43.155014,1
-39.71915,32.568676,0
-28.14599,-15.604448,0
-39.72032,-4.442021,0
-58.880123,37.437714,0
50.820393,14.24343,1
19.232677,13.968659,1
-2.3127713,88.414185,1
42.710495,7.0538692,1
-55.866596,34.25319,0
-11.518822,-23.29123,0
66.13202,9.832013,1
24.734495,-27.297121,1
3.1860003,74.41534,1
-40.242252,-29.988749,0
8.137734,76.312225,1
18.141027,-56.381912,1
10.269284,-45.330666,1
-45.078705,39.00439,0
32.95988,4.3664927,1
-50.047478,47.28956,0
-16.255981,-27.912426,0
31.507545,4.6424723,1
-4.346119,19.714043,0
-37.286854,-28.937714,1
-34.756927,50.96714,0
35.526653,-1.1144401,1
-29.590567,-61.572746,0
-38.338806,-26.144573,0
-50.026093,59.470776,0
3.8496594,78.88428,1
-47.96532,51.35118,0
32.926693,1.8254937,1
-77.91908,32.240463,0
40.27833,-14.382387,1
47.992855,13.125675,1
76.236206,1.219031,1
-25.13779,35.296062,0
63.014896,-11.7561,1
-23.861738,-6.672787,0
-58.93387,-18.65773,0
-22.801203,-20.39374,0
48.753746,-31.126871,1
68.052864,16.963266,1
29.683134,-32.85118,1
-32.489426,-24.464872,0
-34.239716,-23.968903,0
29.336252,-33.40428,1
29.518932,-84.789185,1
24.770353,-74.71411,1
26.032173,-34.14788,1
14.805335,73.03905,1
-10.955739,1.8111584,0
39.914177,29.252306,1
27.61307,63.971107,1
24.471205,77.3299,1
30.141243,-69.82907,1
51.897762,55.185734,1
-57.296078,-26.1923,0
23.963913,78.13319,1
64.58358,14.202233,1
27.466566,-22.582241,1
-40.218876,-8.098973,0
-25.754347,35.37336,0
-48.666973,23.96279,0
-41.45174,48.572075,0
30.922846,-69.84197,1
29.050001,-69.84678,1
39.366352,19.909882,1
-11.811483,-18.519669,0
-59.93946,-4.472322,0
62.46861,36.305267,1
29.694597,-44.91775,1
-18.080765,26.936636,0
-52.3788,35.373047,0
-59.828094,52.012978,0
68.60286,-31.378105,1
24.892298,76.73832,1
-67.32291,-19.134872,0
24.171318,-56.069134,1
64.05192,45.574177,1
-83.846466,-13.040099,0
12.316593,-63.464844,1
17.758656,-28.671816,1
20.272486,-58.09968,1
9.526559,-60.703705,1
58.6173,-28.497139,1
-61.831936,-22.704222,0
-18.802511,12.782507,0
-22.816406,39.40389,0
-78.03275,-28.47223,0
8.317242,-64.6956,1
10.93929,-77.307594,1
59.30141,-29.277382,1
-20.470516,-41.257908,0
28.744814,2.0088837,1
18.369541,-51.57606,1
17.895258,19.94611,1
23.402966,29.471746,1
25.903376,-50.765293,1
-58.77264,-11.643277,0
-5.4758725,19.917141,0
9.16292,-63.366795,1
29.836357,-78.27417,1
-19.911655,39.042103,0
-42.04246,-52.707012,0
74.811,-16.503845,1
20.736622,-50.33511,1
-19.4744,7.185439,0
13.111751,60.624043,1
-37.170395,-42.305996,0
22.499144,-66.877846,1
41.02699,60.95835,1
-46.260265,-24.59531,0
49.272762,-18.25407,1
-42.612183,-44.99466,0
-7.7046347,-1.7613449,0
-49.59428,-48.458668,0
-76.82511,-31.019224,0
-18.461107,32.61687,0
-21.497332,-19.856133,0
11.501864,-53.756958,1
51.849342,-4.574129,1
57.495857,51.424194,1
-20.883574,-19.864082,0
11.084613,-53.46165,1
32.59674,-28.199179,1
-63.747066,-43.503975,0
-35.351322,-0.7594233,0
44.248585,49.708206,1
8.3294935,-56.394093,1
-44.91141,-62.72379,0
-31.436474,-8.698024,0
10.0192375,85.09998,1
-46.09263,-7.932457,0
-54.857254,-29.082624,0
30.213482,-79.94512,1
14.329665,-36.61227,1
-22.322424,-50.75747,0
9.895583,-45.124195,1
13.7793865,70.30455,1
