x,y,class
-48.63608,-16.036676,0
20.029116,-41.601936,1
71.023125,16.471935,1
26.049538,45.726902,1
47.910755,43.899727,1
-57.32881,0.727725,0
20.478077,-40.902237,1
94.26031,-1.638903,1
-38.159557,-52.32193,0
-43.170334,-39.86764,0
31.43079,38.88575,1
-46.288136,-0.27420932,0
-28.923859,33.32471,0
24.415953,-51.68433,1
-48.290283,-0.47125542,0
34.17391,5.4081087,1
-51.95519,60.379005,0
-39.01558,-3.6597853,0
92.5939,-3.4714777,1
50.212795,29.857615,1
-33.124104,-21.562555,0
32.45825,-24.752432,1
60.06882,-36.42478,1
-30.79089,-22.214886,0
-18.80739,17.556128,0
-38.376522,-36.090023,0
27.47516,-16.644836,1
47.48803,36.619064,1
61.537457,45.81646,1
39.62539,-32.385983,1
-52.785503,60.20289,0
14.304193,47.770855,1
37.158535,-47.279846,1
-44.325146,27.808289,0
-7.9575043,4.570447,0
-58.11553,-13.631562,0
-58.934055,33.779236,0
15.965938,23.770323,1
65.73315,-20.564745,1
85.010124,38.277912,1
41.728405,11.2874155,1
-71.23814,33.540974,0
-35.45452,-38.287254,0
16.47113,50.798244,1
60.693207,-40.15772,1
68.55698,32.98763,1
-22.03756,-9.53925,0
70.64794,40.185566,1
21.969454,-42.546192,1
32.84903,-48.631664,1
-45.474,39.719997,0
61.797325,-22.916645,1
-37.210457,32.207375,0
-0.74465775,-2.6911976,0
62.519592,-18.587276,1
-16.597658,-55.725487,0
95.26505,-9.632165,1
-34.313683,51.48067,0
55.07593,6.0633845,1
-18.833015,-47.307865,0
-37.52056,-31.687563,0
-50.663036,59.84117,0
72.028,41.445175,1
-54.02608,49.747955,0
62.80303,-24.02613,1
-86.017944,32.75232,0
42.393745,6.7926507,1
12.69874,25.985037,1
8.633398,50.214,1
-31.69744,14.446668,0
37.296192,11.531408,1
-30.424189,-2.6216688,0
-33.153545,12.676035,0
-46.691746,-15.345599,0
9.45047,-20.600498,1
9.81141,71.2761,1
36.713257,-35.7206,1
-19.925049,-15.325246,0
-17.55066,0.16504766,0
37.67766,-36.65059,1
46.437763,-60.822227,1
35.86055,-47.07233,1
61.53351,-37.255524,1
69.56805,36.01509,1
-42.1498,14.22552,0
43.1185,16.490543,1
67.6208,9.321123,1
66.25237,38.483303,1
15.492946,-49.817905,1
40.07631,54.91957,1
-47.6323,-11.799511,0
65.478134,41.23898,1
8.759919,38.08891,1
60.273914,-35.47358,1
-45.64761,-10.334894,0
