x,y,class
-74.54888,-34.360573,0
-29.91925,-65.12107,0
53.29474,28.725975,1
-64.13078,-48.487717,0
-62.956764,28.933338,0
36.177006,59.967533,1
-55.296158,-7.6890993,0
-62.182472,-35.106724,0
-37.76911,17.302605,0
34.38594,57.67366,1
14.636223,-52.315445,1
-43.049725,25.812824,0
-59.868736,34.515766,0
55.44687,-46.76152,1
-37.27922,-45.639534,0
-73.08987,30.222458,0
35.176746,-43.266644,1
2.5464556,26.903015,1
55.355667,52.92542,1
-42.191673,21.43937,0
41.66126,-8.799248,1
-28.520823,-42.979908,0
-48.167015,-66.992134,0
-26.299564,27.917282,0
13.5708065,66.262085,1
35.494724,-25.519222,1
-63.517857,33.29359,0
-27.069149,-35.221943,0
-54.468353,-36.222187,0
56.946236,49.125397,1
8.890922,-26.86522,1
49.67966,57.677864,1
16.915989,23.439173,1
27.808382,-72.80314,1
42.997894,-5.01042,1
55.702026,-34.62057,1
-58.03099,-51.034946,0
-25.629946,6.9641924,0
46.79307,7.686847,1
17.556185,-42.68295,1
34.271343,-67.2043,1
-18.50517,11.795946,0
-17.932892,-27.417828,0
70.41443,-29.708742,1
-53.6032,-50.37527,0
19.940678,40.202393,1
17.98378,34.01571,1
-4.385724,38.50016,1
-34.709324,7.856725,0
56.185715,-29.95409,1
-24.566893,-31.417223,0
41.432877,38.27457,1
-82.23385,17.304838,0
34.519024,50.350105,1
39.36139,8.707738,1
34.75282,62.771965,1
7.638551,31.792402,1
23.582342,21.512297,1
11.769639,63.511486,1
9.628148,-61.341396,1
48.816326,63.639515,1
80.67332,16.663742,1
57.91937,-48.686684,1
1.2552035,-12.194681,1
27.79104,-12.3918915,1
-22.450533,-37.68556,0
-17.013105,12.275227,0
-28.506859,-12.661483,0
22.327213,42.02217,1
74.55798,0.61103415,1
-56.499454,29.783287,0
52.26674,-6.9434376,1
-61.284077,8.653345,0
11.149587,54.315372,1
78.98224,-12.654922,1
8.023619,-54.76452,1
12.888219,62.25186,1
-42.619766,-10.198814,0
7.0116076,37.252193,1
-74.234215,30.221151,0
8.194963,36.403233,1
52.69153,47.88469,1
50.18949,14.117174,1
50.16736,-4.4580655,1
67.44255,-15.069872,1
-36.22653,-48.956863,0
63.50981,23.204119,1
21.53036,-40.578445,1
-30.269169,21.238234,0
-39.3436,15.956129,0
-20.7391,-9.655449,0
-62.58852,9.681008,0
58.520397,23.506163,1
40.612713,-24.906065,1
-61.69286,-0.11036208,0
-58.14075,24.2151,0
17.58104,67.866684,1
-28.338486,-6.2669687,0
-43.856194,-14.685481,0
39.213066,77.355194,1
-17.139782,23.549997,0
47.546047,-22.185423,1
-41.949398,12.661779,0
42.38918,37.220306,1
31.957354,73.9099,1
57.74651,47.665558,1
49.390343,-49.541965,1
-16.450706,-14.713676,0
78.17373,-0.18335196,1
-43.111004,0.118036196,0
4.884252,-38.578163,1
10.880886,-45.52212,1
-55.855038,25.981726,0
10.779219,55.123676,1
35.365707,-35.134964,1
22.418816,-30.286215,1
59.168465,37.59297,1
32.913296,74.086334,1
-64.347725,32.91538,0
-20.148209,-16.99271,0
32.65613,18.065376,1
-27.283365,33.807934,0
-42.63723,-16.985888,0
-54.331036,-39.99159,0
8.165885,-54.82,1
50.485603,60.710278,1
-30.841938,-39.17138,0
-42.55336,49.41135,0
-20.300673,14.072841,0
5.444902,29.141356,1
-57.75417,-54.309948,0
47.50701,76.95507,1
34.649994,49.49439,1
-49.55952,-15.740376,0
